Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
YOL120C,RPL18A,RP28B,855415
YOL120C,RPL18A,RP28A,855415
YOL120C,RPL18A,RP28B,854029
YOL120C,RPL18A,RP28A,854029
YER092W,IES5,,856827
YGR291C,,,
YOR181W,LAS17,BEE1,854353
YDL123W,SNA4,,851434
YGR197C,SNG1,,853111
YBL065W,,,
YIR018W,YAP5,,854835
YPL059W,GRX5,,856048
YPL218W,SAR1,,855883
YBR227C,MCX1,,852528
YJR012C,,,853469
YDL199C,,,851328
YIR039C,YPS6,,854857
YMR224C,MRE11,NGS1,855264
YMR224C,MRE11,RAD58,855264
YMR224C,MRE11,XRS4,855264
YGR041W,BUD9,,852932
YKR014C,YPT52,,853884
YGL079W,KXD1,,852801
YLR180W,SAM1,ETH10,850877
YAL019W,FUN30,,851214
YNL121C,TOM70,MAS70,855602
YNL121C,TOM70,MOM72,855602
YNL121C,TOM70,OMP1,855602
YBR218C,PYC2,,852519
YLR250W,SSP120,,850952
tI(AAU)P1,,,
YCR081C-A,,,
YKL149C,DBR1,PRP26,853708
YBR244W,GPX2,AMI1,852546
YFL018C,LPD1,HPD1,850527
YLR222C-A,,,
YOR333C,YOR333C,,
YAL024C,LTE1,MSI2,851209
Q0080,ATP8,AAP1,854600
Q0080,ATP8,AAP1,24573117
YGL107C,RMD9,,852771
YMR059W,SEN15,,855081
YDR505C,PSP1,GIN5,852116
YDL045W-A,MRP10,,851515
YGL168W,HUR1,,852708
YMR072W,ABF2,,855094
YDL045C,FAD1,,851516
YPL264C,,,855864
snR191,SNR191,,
YBR160W,CDC28,CDK1,852457
YBR160W,CDC28,HSL5,852457
YBR160W,CDC28,SRM5,852457
YMR304W,UBP15,,855350
YML087C,AIM33,,854887
YMR195W,ICY1,,855235
YIL082W,,,
YOR335C,ALA1,,
YDR361C,BCP1,,851963
YIL056W,VHR1,,854755
YEL008C-A,,,
YBL080C,PET112,,852198
YIL161W,,,854645
YBR083W,TEC1,ROC1,852377
YBR294W,SUL1,SFP2,852597
YJR067C,YAE1,,853530
YEL032W,MCM3,,856680
YKR099W,BAS1,,853974
YFL032W,,,
YKL110C,KTI12,TOT4,853750
YPL198W,RPL7B,,855903
tI(AAU)B,,,
YNL043C,,,
YNR055C,HOL1,,855792
YJR146W,,,853611
YPL006W,NCR1,,856101
YHR132C,ECM14,,856533
YPR161C,SGV1,BUR1,856290
YKL094W,YJU3,,853768
YJR140W-A,,,
YPL145C,KES1,BSR3,855958
YPL145C,KES1,LPI3,855958
YPL145C,KES1,OSH4,855958
YMR240C,CUS1,,855281
YKR094C,RPL40B,CEP52B,853969
YKR094C,RPL40B,UB12,853969
YKR094C,RPL40B,UBI2,853969
YKR094C,RPL40B,CEP52A,853969
YKR094C,RPL40B,UB11,853969
YKR094C,RPL40B,UBI1,853969
YKR094C,RPL40B,CEP52B,854658
YKR094C,RPL40B,UB12,854658
YKR094C,RPL40B,UBI2,854658
YKR094C,RPL40B,CEP52A,854658
YKR094C,RPL40B,UB11,854658
YKR094C,RPL40B,UBI1,854658
YDR406W-A,YDR406W-A,,
YLR424W,SPP382,CCF8,851143
YLR424W,SPP382,NTR1,851143
YGL228W,SHE10,,852623
YNL039W,BDP1,TFC5,855689
YNL039W,BDP1,TFC7,855689
tS(UGA)I,SUP17,,
YMR308C,PSE1,KAP121,855356
YIL119C,RPI1,,854687
YGR183C,QCR9,UCR9,853095
YOL046C,,,
YGL050W,TYW3,,852832
YBR091C,TIM12,MRS5,852388
YDR199W,,,
