Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
tF(GAA)P2,,,
YML011C,RAD33,,854998
YAR007C,RFA1,BUF2,851266
YAR007C,RFA1,FUN3,851266
YAR007C,RFA1,RPA1,851266
YBL093C,ROX3,MED19,852184
YBL093C,ROX3,NUT3,852184
YBL093C,ROX3,SSN7,852184
YLR266C,PDR8,,850971
YKL155C,RSM22,,853701
YNL317W,PFS2,,855399
YFR009W,GCN20,,850561
YLL030C,RRT7,,
YPR200C,ARR2,ACR2,856330
YCR045W-A,,,
YBL091C,MAP2,,852187
YDR169C,STB3,,851747
YMR064W,AEP1,NCA1,855086
YCL048W,SPS22,,850309
YDR115W,MRX14,,851692
YDL159W-A,YDL159W-A,YDL159W-B,851395
YNL035C,,,855695
tS(AGA)E,,,
YHR026W,VMA16,PPA1,856421
YDL232W,OST4,,851366
YDL240C-A,,,
tN(GUU)G,,,
YBR142W,MAK5,,852439
YNL007C,SIS1,,855725
YOR298C-A,MBF1,SUF13,854474
YLR323C,CWC24,,851033
YOL069W,NUF2,,854085
YJL060W,BNA3,,853386
YNL162W-A,,,855559
YBR047W,FMP23,,852336
tE(CUC)D,,,
YER076C,,,856809
YDL152W,,,
YBR238C,,,852540
YLR007W,NSE1,,850693
YOR014W,RTS1,SCS1,854179
YDR432W,NPL3,MTR13,852042
YDR432W,NPL3,MTS1,852042
YDR432W,NPL3,NAB1,852042
YDR432W,NPL3,NOP3,852042
YLR406C-A,,,1466423
tA(AGC)F,,,
YBR067C,TIP1,,852359
YEL021W,URA3,,856692
YFL045C,SEC53,ALG4,850499
tW(CCA)J,,,
YBR010W,HHT1,BUR5,855700
YBR010W,HHT1,SIN2,855700
YBR010W,HHT1,BUR5,852295
YBR010W,HHT1,SIN2,852295
YOR346W,REV1,,854527
YGL018C,JAC1,,852866
YKL116C,PRR1,,853744
YKR089C,TGL4,STC1,853964
YML082W,,,854892
YDL022C-A,,,13393611
YLL015W,BPT1,,850645
YPL058C,PDR12,,856049
YPL073C,,,
YMR300C,ADE4,,855346
YOR044W,IRC23,,854209
YEL026W,SNU13,,856687
YKR018C,,,853888
YDL114W-A,,,
YNR039C,ZRG17,,855775
YPR197C,,,
YNL103W-A,,,
YDR410C,STE14,,852019
YGL188C,,,
YKR079C,TRZ1,,853954
YIL005W,EPS1,,854812
tL(CAA)N,,,
YJL117W,PHO86,,853325
YDR464C-A,,,
YLR343W,GAS2,,851056
YBL054W,TOD6,PBF1,852226
YHR160C,PEX18,,856565
YPR088C,SRP54,SRH1,856203
YDL072C,YET3,,851487
YDR053W,,,
YLR269C,,,
YDL012C,,,851550
YNL052W,COX5A,,855675
YDR482C,CWC21,,852093
YMR262W,,,855304
YDL070W,BDF2,,851488
YKL153W,,,
YBR209W,,,
YPL254W,HFI1,ADA1,855821
YPL254W,HFI1,GAN1,855821
YPL254W,HFI1,SRM12,855821
YPL254W,HFI1,SUP110,855821
YOR275C,RIM20,,854449
YNL120C,,,
YOR174W,MED4,,854345
YER040W,GLN3,,856763
YGR126W,,,853027
YBL060W,YEL1,,852219
YDR064W,RPS13,RPS13B,851636
YDR064W,RPS13,RPS13C,851636
YGL065C,ALG2,,852815
tN(GUU)L,,,
YKL027W,TCD2,,853841
YGL014W,PUF4,YGL023,852870
YBR089W,,,
YDL135C,RDI1,,851420
YGL100W,SEH1,,852778
YLR210W,CLB4,,850907
YDL077C,VAM6,CVT4,851482
YDL077C,VAM6,VPL18,851482
YDL077C,VAM6,VPL22,851482
YDL077C,VAM6,VPS39,851482
YBR025C,OLA1,,852313
YMR031C,EIS1,,855047
YLR058C,SHM2,SHMT2,850747
YGR288W,MAL13,,853205
YMR016C,SOK2,,855030
YMR066W,SOV1,,855088
YDR354C-A,,,
YHR085W,IPI1,,856485
YNL002C,RLP7,RPL7,855730
YOR336W,KRE5,,854514
YIL169C,,,854637
YOL094C,RFC4,,854059
YEL016C,NPP2,,856699
YLR145W,RMP1,,850837
YFL068W,,,850476
YHR113W,APE4,,856513
YLR080W,EMP46,,850769
YMR007W,,,
YGL174W,BUD13,CWC26,852701
YDL033C,SLM3,MTO2,851529
YDL033C,SLM3,MTU1,851529
YLR443W,ECM7,ZRG15,851164
YOR122C,PFY1,PRF1,854289
YJL149W,DAS1,,853292
YKL100W-A,,,
YOR256C,TRE2,,854430
YAL030W,SNC1,,851203
YDL031W,DBP10,,851530
YCR002C,CDC10,,850358
YMR201C,RAD14,,855241
YDR398W,UTP5,,852007
YLR325C,RPL38,,851035
YKL035W,UGP1,,853830
YER012W,PRE1,,856731
YPR010C-A,,,5142379
YBR040W,FIG1,,852328
YHR175W,CTR2,,856580
YCR035C,RRP43,,850401
YPL223C,GRE1,,855878
YBR230C,OM14,,852531
YAR027W,UIP3,,851279
YOL137W,BSC6,,853983
YOR350C,MNE1,,854532
YPR056W,TFB4,,856169
YLL006W,MMM1,YME6,850654
YOR196C,LIP5,,854371
YDR326C,YSP2,,851926
YGR211W,ZPR1,,853125
YPR006C,ICL2,,856114
YKL084W,HOT13,,853778
YCR066W,RAD18,,850430
YJR063W,RPA12,RRN4,853526
YER190W,YRF1-2,YRF1,856940
YMR232W,FUS2,,855272
YGL204C,,,852669
YDL052C,SLC1,,851508
YER185W,PUG1,,856934
YLR074C,BUD20,,850763
YOR380W,RDR1,,854562
RDN5-5,RDN5-5,,
YER189W,,,856939
YMR200W,ROT1,,855240
YEL060C,PRB1,CVT1,856649
YFR018C,,,850573
YMR297W,PRC1,LBC1,855343
YDR536W,STL1,,852149
YOR314W-A,,,
YLR311C,,,
YGR270W,YTA7,,853186
tA(UGC)O,,,
YDR397C,NCB2,YDR1,852006
YEL052W,AFG1,,856658
YLR191W,PEX13,PAS20,850888
YNL311C,SKP2,,855405
YKL207W,,EMC3,853628
YDL116W,NUP84,,851441
YAL055W,PEX22,YAF5,851244
YJL067W,,,
YLR235C,,,
YIL004C,BET1,SLY12,854813
YJL164C,TPK1,PKA1,853275
YJL164C,TPK1,SRA3,853275
YER149C,PEA2,DFG9,856892
YER149C,PEA2,PPF2,856892
YML026C,RPS18B,,852061
YML026C,RPS18B,,854982
YOL097W-A,,,1466475
YFR034C,PHO4,,850594
YJL223C,PAU1,,853232
YJL223C,PAU1,,854631
YOR376W,,,
YPR129W,SCD6,LSM13,856247
Q0250,COX2,OXI1,854622
Q0250,COX2,OXII,854622
YJL079C,PRY1,,853366
YOR369C,RPS12,,854551
YNR007C,ATG3,APG3,855741
YNR007C,ATG3,AUT1,855741
snR3,SNR3,,
YLR364C-A,,,
YHR148W,IMP3,,856553
YPR199C,ARR1,ACR1,856329
YPR199C,ARR1,YAP8,856329
YDR028C,REG1,HEX2,851592
YDR028C,REG1,PZF240,851592
YDR028C,REG1,SPP43,851592
YDR028C,REG1,SRN1,851592
YPL062W,,,
YPR113W,PIS1,,856229
YGR204W,ADE3,,853118
YPL166W,ATG29,,855937
ITS2-1,ITS2-1,,
YDL007W,RPT2,YHS4,851557
YDL007W,RPT2,YTA5,851557
YML023C,NSE5,,854985
YMR143W,RPS16A,,855174
YMR143W,RPS16A,,851476
YGR266W,,,853182
YPR020W,ATP20,,856131
YMR073C,IRC21,,855095
YNL291C,MID1,,855425
YNL195C,,,855526
YBL027W,RPL19B,,852254
YBL027W,RPL19B,,852379
YDR236C,FMN1,,851822
YDR011W,SNQ2,,851574
YDR155C,CPR1,CPH1,851733
YDR155C,CPR1,CYP1,851733
YGL070C,RPB9,SSU73,852810
YPL160W,CDC60,,855943
YML069W,POB3,,854933
YNL087W,TCB2,,855637
YOL132W,GAS4,,853988
YGL225W,VRG4,GOG5,852647
YGL225W,VRG4,LDB3,852647
YGL225W,VRG4,VAN2,852647
YGL225W,VRG4,VIG4,852647
tF(GAA)N,,,
YER111C,SWI4,ART1,856847
YML050W,AIM32,,854955
YDR414C,ERD1,LDB2,852023
YDR026C,NSI1,,851590
YBL100C,,,
YIR014W,,,854831
YLR288C,MEC3,PIP3,850995
YLR288C,MEC3,PSO9,850995
YPL147W,PXA1,LPI1,855956
YPL147W,PXA1,PAL1,855956
YPL147W,PXA1,PAT2,855956
YPL147W,PXA1,SSH2,855956
YDL073W,AHK1,,851486
tE(CUC)I,,,
tY(GUA)D,SUP2,,
YGL120C,PRP43,,852757
YAL060W,BDH1,,851239
YNL217W,,,855504
YIR033W,MGA2,,854851
YLL001W,DNM1,,850686
YKR066C,CCP1,,853940
YLR409C,UTP21,,851125
YHR208W,BAT1,ECA39,856615
YHR208W,BAT1,TWT1,856615
YNL029C,KTR5,,855703
YHR001W,OSH7,,856389
YLR099C,ICT1,,850788
YJL156W-A,,,
YLR131C,ACE2,,850822
YER081W,SER3,,856814
YDL115C,IWR1,,851442
YPL107W,,,855997
YOR296W,,,854471
YER010C,,,856728
YML099W-A,YML099W-A,,
YLR362W,STE11,,851076
YJL106W,IME2,SME1,853338
YOR260W,GCD1,TRA3,854434
YBR261C,TAE1,NTM1,852564
YIL105C,SLM1,LIT2,854701
YPL169C,MEX67,,855934
YDL145C,COP1,RET1,851410
YDL145C,COP1,SEC33,851410
YDL145C,COP1,SOO1,851410
YPR169W-A,,,
YJL171C,TOH1,,853268
YNR028W,CPR8,,855762
YPR170W-A,,,
tE(UUC)G1,SOE1,,
YER018C,SPC25,,856738
YMR211W,DML1,,855251
YLR256W,HAP1,CYP1,850958
YAL017W,PSK1,FUN31,851216
YDR203W,,,
YJL058C,BIT61,,853388
YOR373W,NUD1,,854555
YIL057C,RGI2,,854753
YHR131C,,,856532
YLR068W,FYV7,,850757
YPR014C,,,
YHR049C-A,,,
tL(UAG)J,,,
YDL104C,QRI7,,851454
YIL017C,VID28,GID5,854795
YIL017C,VID28,YIL017W,854795
YNL009W,IDP3,,855723
YBR034C,HMT1,HCP1,852322
YBR034C,HMT1,ODP1,852322
YBR034C,HMT1,RMT1,852322
YPR049C,ATG11,CVT9,856162
tF(GAA)M,,,
YPL087W,YDC1,,856018
YJL132W,,,853309
YIL132C,CSM2,,854674
YKL117W,SBA1,,853743
YKL140W,TGL1,YKL5,853717
YPR115W,RGC1,,856231
YOR163W,DDP1,,854334
YMR283C,RIT1,,855326
YKL007W,CAP1,,853862
YNL024C-A,KSH1,,1466516
YDL149W,ATG9,APG9,851406
YDL149W,ATG9,AUT9,851406
YDL149W,ATG9,CVT7,851406
YLR101C,,,
YGR252W,GCN5,AAS104,853167
YGR252W,GCN5,ADA4,853167
YGR252W,GCN5,SWI9,853167
YOR029W,,,
snR74,SNR74,,
YLR341W,SPO77,,851054
YDR231C,COX20,,851817
YDR045C,RPC11,,851615
YPL184C,MRN1,PTR69,855917
YPR111W,DBF20,,856227
YPR203W,,,856333
YGL106W,MLC1,,852772
YOL042W,NGL1,,854115
YPR189W,SKI3,SKI5,856319
RNA170,RNA170,,
YKL051W,SFK1,,853815
YGR284C,ERV29,,853201
YML078W,CPR3,CYP3,854897
YOR316C,COT1,,854494
YOR326W,MYO2,CDC66,854504
YLL054C,,,850672
YOR293C-A,,,1466486
YCR032W,BPH1,,850398
YAR018C,KIN3,FUN52,851273
YAR018C,KIN3,NPK1,851273
YMR142C,RPL13B,,855173
YOL036W,,,854120
YGR032W,GSC2,FKS2,852920
YOR072W-B,,,1466483
YKL022C,CDC16,,853846
YIL070C,MAM33,,854740
YPR034W,ARP7,RSC11,856146
YPR034W,ARP7,SWP61,856146
YPL189W,GUP2,,855912
YJL172W,CPS1,,853267
YOR332W,VMA4,,854509
YMR203W,TOM40,ISP42,855243
YMR203W,TOM40,MOM38,855243
YDL075W,RPL31A,RPL34,851484
YEL076C,,,856633
YNL334C,SNO2,,855382
YMR077C,VPS20,CHM6,855101
YMR077C,VPS20,VPL10,855101
YMR077C,VPS20,VPT20,855101
YOL002C,IZH2,PHO36,854160
YKL021C,MAK11,,
YDR415C,,,852024
YNL319W,,,
YNL295W,MRX6,,855421
tN(GUU)N2,,,
YDR339C,FCF1,UTP24,851939
YEL018C-A,,,
YGR174C,CBP4,,
YMR245W,,,
YJR114W,YJR114W,,
YPL246C,RBD2,,855830
YNL192W,CHS1,USA4,855529
YDL213C,NOP6,,851313
YKL148C,SDH1,,853709
YCL059C,KRR1,,850298
YHR086W-A,,,1466529
YLR186W,EMG1,NEP1,850883
YOR193W,PEX27,,854368
YJL093C,TOK1,DUK1,853352
YJL093C,TOK1,YKC1,853352
YJL093C,TOK1,YPK1,853352
YJL163C,,,853276
YJR153W,PGU1,PGL1,853618
YJR153W,PGU1,PSM1,853618
YMR284W,YKU70,HDF1,855328
YMR284W,YKU70,NES24,855328
YBR101C,FES1,,852397
YMR089C,YTA12,RCA1,855114
YER072W,VTC1,NRF1,856803
YER072W,VTC1,PHM4,856803
YJL179W,PFD1,GIM6,853260
YNL149C,PGA2,,855573
YGR208W,SER2,,853122
YHR141C,RPL42B,MAK18,855560
YHR141C,RPL42B,MAK18,856544
YHR170W,NMD3,SRC5,856575
YDR096W,GIS1,,851670
YPL020C,ULP1,NIB1,856087
YER093C,TSC11,AVO3,856828
YGL016W,KAP122,PDR6,852868
YLR143W,DPH6,,850835
YNL071W,LAT1,ODP2,855653
YNL071W,LAT1,PDA2,855653
YKL038W,RGT1,,853828
YLR368W,MDM30,DSG1,851083
YGR255C,COQ6,,853170
YLR393W,ATP10,,851109
YDL019C,OSH2,,851543
YDL022W,GPD1,DAR1,851539
YDL022W,GPD1,HOR1,851539
YDL022W,GPD1,OSG1,851539
YDL022W,GPD1,OSR5,851539
YHL021C,AIM17,FMP12,856365
YCR079W,PTC6,AUP1,850441
YCR079W,PTC6,PPP2,850441
YOR243C,PUS7,,854417
YOR126C,IAH1,,854293
YDR413C,,,
YDR391C,,,852000
YJR080C,AIM24,FMP26,853543
YMR134W,ERG29,,855164
YNL089C,,,
YOR070C,GYP1,YOR29-21,854236
YKL125W,RRN3,,853734
YOR328W,PDR10,,854506
YLR176C,RFX1,CRT1,850873
YNL308C,KRI1,,855408
YAL069W,,,
YGR146C-A,,,1466459
YJL037W,IRC18,,853414
YDR091C,RLI1,,851665
YHR078W,,,856477
YGL194C,HOS2,RTL1,852681
YJL104W,PAM16,MIA1,853340
YJL104W,PAM16,TIM16,853340
YAL063C,FLO9,,851236
YPL255W,BBP1,,855820
Q0017,Q0017,,
YER178W,PDA1,,856925
YNL239W,LAP3,,
YMR290W-A,,,
YJL050W,MTR4,DOB1,853397
YHR007C-A,,,1466526
YLR126C,,,850817
YLR099W-A,MIM2,,850789
YPL196W,OXR1,,855905
YPR135W,CTF4,CHL15,856254
YPR135W,CTF4,POB1,856254
YGL138C,,,852739
YHL044W,,,856341
YER030W,CHZ1,,856752
YDR240C,SNU56,MUD10,851827
YGR091W,PRP31,,852983
YFR029W,PTR3,SSY3,850587
YKL048C,ELM1,LDB9,853818
YOL056W,GPM3,,854098
YPR044C,OPI11,,
YOR098C,NUP1,,854265
YJL002C,OST1,NLT1,853455
YNL275W,BOR1,,855446
YDL244W,THI13,,851353
YDR179C,CSN9,,851759
YPL061W,ALD6,ALD1,856044
YDL165W,CDC36,DNA19,851389
YDL165W,CDC36,NOT2,851389
YGR200C,ELP2,KTI3,853114
YGR200C,ELP2,TOT2,853114
YDL140C,RPO21,RPB1,851415
YDL140C,RPO21,RPB220,851415
YDL140C,RPO21,SUA8,851415
YJR084W,YJR084W,CSN12,853546
YMR095C,SNO1,,855120
YDR120C,TRM1,,851698
YDR003W,RCR2,SSH5,851566
YOL110W,SHR5,ERF4,854039
YGR191W,HIP1,,853104
YNR071C,,,855808
YOR213C,SAS5,,854388
YJL220W,,,
YGR270C-A,,,
YJR034W,PET191,,853491
YHR214W-A,,,
YOR253W,NAT5,ARD2,854427
YOR253W,NAT5,NAA50,854427
YOR253W,NAT5,ROG2,854427
YBL010C,,,852273
YLR423C,ATG17,APG17,851142
YKL053W,,,
YJR019C,TES1,PTE1,853477
YLR357W,RSC2,,851071
YOR008C-A,,,854171
snR83,SNR83,,
YHR161C,YAP1801,,856566
YBR053C,,,852342
YBL059C-A,CMC2,,852220
YPL238C,,,
YLR197W,NOP56,SIK1,850894
YOL113W,SKM1,,854036
YPL052W,OAZ1,YPL052W-A,856055
YHR074W,QNS1,,856473
YKR093W,PTR2,,853968
YFL003C,MSH4,,850545
YHR164C,DNA2,WEB2,856569
YPR112C,MRD1,,856228
YGL227W,VID30,GID1,852624
tC(GCA)Q,,,
ETS1-1,ETS1-1,,
YDR499W,LCD1,DDC2,852110
YDR499W,LCD1,PIE1,852110
snR73,SNR73,,
tH(GUG)M,,,
YOR060C,SLD7,YOR29-11,854226
YER128W,VFA1,,856865
YLR187W,SKG3,,850884
YJR093C,FIP1,,853555
YKL201C,MNN4,YKL200C,853634
YPL186C,UIP4,,855916
YCR021C,HSP30,YRO1,850385
YOL076W,MDM20,DEC1,854079
YOL076W,MDM20,NAA25,854079
YOR186C-A,,,
YPR148C,,,856271
YBR255C-A,RCF3,,852558
YGR081C,SLX9,,852972
YJL201W,ECM25,,853229
YPL276W,YPL276W,,
YGL243W,TAD1,,852608
YJL161W,FMP33,,853279
YGL194C-A,,,3799973
YGR148C,RPL24B,RPL30B,853051
YDR166C,SEC5,,851744
YDL092W,SRP14,,851466
YKL123W,,,
YMR099C,YMR099C,,855125
YFR041C,ERJ5,,850602
YJR021C,REC107,MER2,853478
YMR132C,JLP2,,855162
YFL059W,SNZ3,,850485
YGL136C,MRM2,,852741
YDL041W,,,
YHL006W-A,,,
YBL042C,FUI1,,852238
YBL039C,URA7,,852241
YFL062W,COS4,,850482
YGR276C,RNH70,REX1,853193
YGR276C,RNH70,RNA82,853193
YKL224C,PAU16,,853656
YPL280W,HSP32,,855849
YML115C,VAN1,LDB13,854925
YML115C,VAN1,VRG7,854925
YML115C,VAN1,VRG8,854925
YJL070C,,,853375
YIL051C,MMF1,IBM1,854760
snR11,SNR11,,
YPR143W,RRP15,,856264
YCL026C-A,FRM2,YCLX08C,850332
YKL077W,,,853785
YPL261C,,,
YBR217W,ATG12,APG12,852518
RDN5-2,RDN5-2,,
YMR086W,SEG1,,855110
YHR204W,MNL1,HTM1,856611
YGL129C,RSM23,,852748
YBR200W-A,,,1466449
YOR381W,FRE3,,854563
tR(UCU)G2,,,
YNL226W,,,
YNL040W,,,855688
YNL117W,MLS1,,855606
YLL034C,RIX7,,850625
YLL023C,POM33,,850637
YBL003C,HTA2,H2A2,852283
YKR103W,NFT1,,853978
YDL241W,,,851356
YDL082W,RPL13A,,851477
YLR065C,ENV10,,850754
YIL118W,RHO3,,854688
YFR026C,ULI1,,850583
YOR113W,AZF1,,854280
YFL014W,HSP12,GLP1,850532
YFL014W,HSP12,HOR5,850532
YLL031C,GPI13,MPC1,850628
YLR419W,,,851137
YNL050C,,,855677
YPL034W,,,856072
YGR053C,,,852944
YGR069W,,,
YNL086W,SNN1,,855638
YHL002C-A,,,
YDR277C,MTH1,BPC1,851870
YDR277C,MTH1,DGT1,851870
YDR277C,MTH1,HTR1,851870
YDR291W,HRQ1,,851885
YER003C,PMI40,,856720
YGL224C,SDT1,SSM1,852648
YMR044W,IOC4,,855061
YLR149C-A,,,
YNL017C,,,
YGL193C,,,852682
YNR070W,PDR18,,855807
YIL097W,FYV10,GID9,854710
YOR273C,TPO4,,854447
YPL116W,HOS3,,855987
YNR067C,DSE4,ENG1,855804
YPL131W,RPL5,LPI14,855972
YPL131W,RPL5,RPL1,855972
YDR475C,JIP4,YDR474C,852086
YHL030W-A,,,
YGL020C,GET1,MDM39,852864
YKR104W,YKR104W,NFT1,853979
YDR244W,PEX5,PAS10,851831
YDR407C,TRS120,,852016
YLR294C,,,
YDR382W,RPP2B,RPL45,851990
YDR382W,RPP2B,YPA1,851990
tN(GUU)O1,,,
Q0144,,,
snR128,SNR128,,
YNL305C,BXI1,,855411
YCL046W,,,
YBR069C,TAT1,TAP1,852361
YBR069C,TAT1,VAP1,852361
YER163C,GCG1,,856910
YPR017C,DSS4,,856128
YGL177W,,,
YLR405W,DUS4,,851121
YGL189C,RPS26A,RPS26,852686
YDR102C,,,
YBR056W-A,,,1466443
YMR222C,FSH2,,855262
YJL029C,VPS53,,853423
YCR104W,PAU3,,850468
YDL188C,PPH22,PPH2,851339
YGR122W,,,853020
YNL015W,PBI2,LMA1,855717
YKR024C,DBP7,,853894
YGL003C,CDH1,HCT1,852881
YPL012W,RRP12,,856095
tF(GAA)H2,,,
YAL046C,BOL3,,851251
YJR010W,MET3,,853466
YDR405W,MRP20,,852014
YNL146C-A,,,1466510
YCL001W,RER1,,850354
YOR161W-A,,,
YHR163W,SOL3,,856568
YDR443C,SSN2,MED13,852053
YDR443C,SSN2,NUT8,852053
YDR443C,SSN2,RYE3,852053
YDR443C,SSN2,SCA1,852053
YDR443C,SSN2,SRB9,852053
YDR443C,SSN2,UME2,852053
YDR059C,UBC5,,851631
YJR151W-A,,,1466471
YDR144C,MKC7,YPS2,851722
YDL157C,,,851398
YBR009C,HHF1,,852294
YBR009C,HHF1,,855701
YFL066C,,,850478
YOL147C,PEX11,PMP24,854018
YOL147C,PEX11,PMP27,854018
YMR272W-A,,,
YOR338W,,,854516
YIR034C,LYS1,,854852
tD(GUC)J3,,,
YEL005C,VAB2,VAB31,856713
YIL109C,SEC24,ANU1,854697
YDL058W,USO1,INT1,851501
YDL096C,OPI6,,
YJR144W,MGM101,MGM9,853609
YLR157C-C,,,1466410
YLR157C-C,,,1466411
YLR157C-C,,,1466415
YLR157C-C,,,1466414
YGR210C,,,853124
YHL046C,PAU13,,856339
YPL017C,IRC15,,856090
YOR178C,GAC1,,854350
YAR020C,PAU7,,851275
YHR056W-A,,,
tG(GCC)G1,,,
YHL004W,MRP4,,856384
YNL063W,MTQ1,,855662
YBL038W,MRPL16,,852242
YLR463C,,,
YDL155W,CLB3,,851400
YOR188W,MSB1,,854360
YDR147W,EKI1,,851725
YDL191W,RPL35A,SOS2,851419
YDL191W,RPL35A,SOS1,851419
YDL191W,RPL35A,SOS2,851336
YDL191W,RPL35A,SOS1,851336
YBR056C-B,,,
YNL294C,RIM21,PAL2,855422
YNR046W,TRM112,,855782
YOL159C,CSS3,,854006
YBR081C,SPT7,GIT2,852373
YFL047W,RGD2,,850497
YFR032C-A,RPL29,,850592
YFR056C,,,
YMR321C,,,855371
YNL167C,SKO1,ACR1,855554
YNL280C,ERG24,,855441
YER173W,RAD24,,856920
YKR056W,TRM2,NUC2,853930
YKR056W,TRM2,NUD1,853930
YKR056W,TRM2,RNC1,853930
YJL073W,JEM1,KAR8,853372
YDL128W,VCX1,HUM1,851429
YDL128W,VCX1,MNR1,851429
YIL102C-A,,,3799974
YLR026C,SED5,,850713
YDR310C,SUM1,,851905
YLR267W,BOP2,,850972
YKL203C,TOR2,DRR2,853632
YNR002C,ATO2,FUN34,855736
YGR079W,,,852970
YNL036W,NCE103,NCE3,855692
YGL115W,SNF4,CAT3,852763
YGL115W,SNF4,SCI1,852763
YKR054C,DYN1,DHC1,853928
YKR054C,DYN1,PAC6,853928
YGL105W,ARC1,,852773
YEL065W,SIT1,ARN3,856644
YJL022W,,,
YLR093C,NYV1,MAM2,850782
YGR026W,,,852910
YJR038C,,,
YML131W,,,854908
YPL010W,RET3,,856097
YNL075W,IMP4,,855649
YOR382W,FIT2,,854564
YEL055C,POL5,,856655
YGR087C,PDC6,,852978
YKR057W,RPS21A,RPS25,853931
YOL071W,,SDH5,854083
YER029C,SMB1,,856751
YDL160C-A,MHF2,,1466431
YLR085C,ARP6,,850774
YOR363C,PIP2,OAF2,854545
YGR278W,CWC22,,853195
RUF20,RUF20,,
YDR127W,ARO1,,851705
YGR042W,MTE1,,852933
YLR246W,ERF2,,850947
YNR058W,BIO3,,855795
YCR054C,CTR86,,850421
YML038C,YMD8,,854970
YCR046C,IMG1,,850413
YDR497C,ITR1,,852108
YGR043C,NQM1,,852934
YKL133C,,,853725
YOR069W,VPS5,GRD2,854235
YOR069W,VPS5,PEP10,854235
YOR069W,VPS5,VPT5,854235
snR37,SNR37,,
YGL165C,,,
YLR433C,CNA1,CMP1,851153
YOR075W,UFE1,,854242
YGR110W,CLD1,,853007
YGR089W,NNF2,,852980
YPR173C,VPS4,CSC1,856303
YPR173C,VPS4,DID6,856303
YPR173C,VPS4,END13,856303
YPR173C,VPS4,GRD13,856303
YPR173C,VPS4,VPL4,856303
YPR173C,VPS4,VPT10,856303
YDL162C,,,
tH(GUG)K,,,
tS(AGA)D3,,,
YFL044C,OTU1,,850500
YIL105W-A,,,13393613
YPL233W,NSL1,,855843
YPR024W,YME1,OSD1,856135
YPR024W,YME1,YTA11,856135
YGL158W,RCK1,,852719
YFR011C,,,850563
YBR007C,DSF2,,852292
YKL122C,SRP21,,853737
snR18,SNR18,,
YML122C,,,
YPL152W-A,,,1466519
YOR124C,UBP2,,854291
YCR064C,,,
YER089C,PTC2,,856823
YGR262C,BUD32,LDB14,853178
YLR227C,ADY4,,850924
YDR201W,SPC19,,851782
YGL200C,EMP24,BST2,852675
YJR094W-A,RPL43B,,853557
YJR094W-A,RPL43B,,856156
YOR008W-B,,,
YIL084C,SDS3,,854725
YCL001W-B,,,850356
YGL117W,,,852761
snR31,SNR31,,
YGL186C,TPN1,,852689
YGR010W,NMA2,,852893
YLR012C,,,850699
YHL009C,YAP3,,856377
YLR111W,,,
YLR152C,,,850845
YLR370C,ARC18,,851085
YMR036C,MIH1,,855052
YML012W,ERV25,,854997
YOL025W,LAG2,ECM36,854133
YOR057W,SGT1,,854222
YOR265W,RBL2,,854439
YGR198W,YPP1,,853112
YJL052W,TDH1,GLD3,853395
YNL054W,VAC7,,855673
YNR006W,VPS27,DID7,855739
YNR006W,VPS27,GRD11,855739
YNR006W,VPS27,SSV17,855739
YNR006W,VPS27,VPL23,855739
YNR006W,VPS27,VPT27,855739
YBR146W,MRPS9,,852443
YNR042W,,,
YGR137W,,,
YML100W,TSL1,,854872
YPL187W,MF(ALPHA)1,,855914
YGL058W,RAD6,PSO8,852822
YGL058W,RAD6,UBC2,852822
YNL261W,ORC5,,855460
YOL127W,RPL25,,853993
YOR107W,RGS2,,854274
YGL226W,MTC3,,852626
YGL055W,OLE1,MDM2,852825
YIL039W,TED1,,854772
YLL026W,HSP104,,850633
YGL184C,STR3,,852691
YDR163W,CWC15,,851741
YLR289W,GUF1,,850996
YDL146W,LDB17,,851409
YBR171W,SEC66,HSS1,852469
YBR171W,SEC66,SEC71,852469
YGL024W,YGL024W,,
YPR191W,QCR2,COR2,856321
YPR191W,QCR2,UCR2,856321
YER179W,DMC1,ISC2,856926
YFR022W,ROG3,ART7,850578
YHR138C,,,856540
YBL028C,,,852253
tV(AAC)G3,,,
YEL011W,GLC3,GHA1,856705
YBR135W,CKS1,,852432
YOL142W,RRP40,,854023
YGL151W,NUT1,MED5,852726
YJR139C,HOM6,,853604
YKR100C,SKG1,YKR099C-A,853975
YCR017C,CWH43,,850376
YLL066W-B,,,1466404
YHR166C,CDC23,,856571
YBR264C,YPT10,,852567
YDR363W-A,SEM1,DSS1,851967
YDR363W-A,SEM1,HOD1,851967
YDL221W,,,
YDL089W,NUR1,,851469
YHR151C,MTC6,,856556
YIR003W,AIM21,,854819
YAR050W,FLO1,FLO2,851289
YAR050W,FLO1,FLO4,851289
YOR239W,ABP140,YOR240W,854414
YOL091W,SPO21,MPC70,854062
YJR158W,HXT16,,853623
YOR317W,FAA1,,854495
YDR385W,EFT2,,854301
YDR385W,EFT2,,851993
YBR043C,QDR3,AQR2,852331
YMR312W,ELP6,HAP3,855360
YMR312W,ELP6,KTI4,855360
YMR312W,ELP6,TOT6,855360
YDR331W,GPI8,,851931
YGR101W,PCP1,MDM37,852993
YGR101W,PCP1,RBD1,852993
YDR196C,CAB5,,851777
YFR047C,BNA6,QPT1,850608
YJL089W,SIP4,,853356
