Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000197183,dJ1184F4.4,NOL4L,140688
ENSG00000197183,DKFZP566G1424,NOL4L,140688
ENSG00000164061,ZNF231,BSN,8927
ENSG00000237603,,HMGB3P12,
ENSG00000278192,,AL118505.1,
ENSG00000236936,,AL031005.1,
ENSG00000286848,,AC009570.2,
ENSG00000257125,KRT3P1,KRT127P,
ENSG00000215146,,BX322639.1,
ENSG00000125817,,CENPB,1059
ENSG00000204437,bA479O17.1,CTSLP6,
ENSG00000204437,CTSL1P6,CTSLP6,
ENSG00000204437,CTSLL6,CTSLP6,
ENSG00000132464,AIH2,ENAM,10117
ENSG00000117298,ECE,ECE1,1889
ENSG00000177685,EFCAB4A,CRACR2B,283229
ENSG00000177685,MGC45840,CRACR2B,283229
ENSG00000230465,,VENTXP4,
ENSG00000258071,ARL2BPL,ARL2BPP2,
ENSG00000258071,bcm1040,ARL2BPP2,
ENSG00000065328,CNA43,MCM10,55388
ENSG00000065328,DNA43,MCM10,55388
ENSG00000065328,PRO2249,MCM10,55388
ENSG00000185069,HUMCYT2A,KRT76,51350
ENSG00000185069,KRT2B,KRT76,51350
ENSG00000185069,KRT2P,KRT76,51350
ENSG00000267675,,AC105105.2,
ENSG00000235120,,BSN-AS1,
ENSG00000237767,HI-LNC25,LINC01370,
ENSG00000179796,LRP15,LRRC3B,116135
ENSG00000187801,FLJ34293,ZFP69B,65243
ENSG00000187801,ZKSCAN23B,ZFP69B,65243
ENSG00000187801,ZNF643,ZFP69B,65243
ENSG00000187801,ZSCAN54B,ZFP69B,65243
ENSG00000286038,SPDYE13P,SPDYE13,
ENSG00000214584,,PGGT1BP2,
ENSG00000257404,,AC107016.2,
ENSG00000276840,PMS2L10,PMS2P10,
ENSG00000276840,PMSR4,PMS2P10,
ENSG00000283246,MEP1AL1,MEP1AP1,
ENSG00000267391,lnc-pri-miR-122,MIR122HG,
ENSG00000255151,GLYATL1P3,GLYATL1B,100287520
ENSG00000231156,,AC093702.1,
ENSG00000286728,,AC009236.2,
ENSG00000283913,,AL512662.2,
ENSG00000286519,,AC009236.1,
ENSG00000231054,,AC093833.1,
